address_full,street,house_number,postal_code,city,sale_price,ask_price,sale_date,list_date,delist_date,transport_date,days_on_market,area_m2,rooms,bedrooms,bathrooms,toilets,year_built,type,subtype,energy_label,maintenance_inside,maintenance_outside,vve_monthly_fee,has_garden,garden_type,garden_area_m2,has_balcony,has_terrace,outdoor_text,heating,hot_water,has_lift,floor,has_storage,has_parking,has_garage,garage_type,notes,source_file,lat,lng
"Laurierstraat 26 3, 1016 PM Amsterdam",Laurierstraat,26 3,1016PM,Amsterdam,464000.0,425000.0,,2024-11-08,2025-01-07,2025-01-13,33.0,58.0,3.0,2.0,1.0,,1871.0,Appartement,Bovenwoning,B,Goed,Goed,120.0,False,Geen tuin,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-09112025_1403.rtf,52.372506,4.8818908
"Prinsengracht 382 3, 1016 JA Amsterdam",Prinsengracht,382 3,1016JA,Amsterdam,525000.0,525000.0,,2025-11-03,,,8.0,50.0,3.0,1.0,1.0,,1933.0,Appartement,Bovenwoning,,Goed,Goed,150.0,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (2).rtf,52.3671766,4.8820831
"Lijnbaansgracht 228, 1017 PH Amsterdam",Lijnbaansgracht,228,1017PH,Amsterdam,515000.0,480000.0,,2025-03-28,2025-05-30,2025-05-30,27.0,50.0,3.0,2.0,,,1979.0,Appartement,Bovenwoning,B,Goed,Goed,260.2,False,Geen tuin,,False,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Realworks bestanden\Selectie-22102025_1221.rtf,52.3650267,4.881609
"Eerste Tuindwarsstraat 6 1, 1015 RV Amsterdam",Eerste Tuindwarsstraat,6 1,1015RV,Amsterdam,920000.0,875000.0,,2024-11-15,2025-01-08,2025-01-07,22.0,99.0,5.0,2.0,1.0,,1890.0,Appartement,Bovenwoning,F,Goed,Goed,200.0,False,Geen tuin,,False,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-18102025_1511 (1).rtf,52.377645,4.8836091
"Prinsengracht 373 B, 1016 HL Amsterdam",Prinsengracht,373 B,1016HL,Amsterdam,695000.0,695000.0,,2025-05-12,,,183.0,71.0,2.0,1.0,1.0,,1730.0,Appartement,Bovenwoning,B,Goed,Goed,190.0,False,Geen tuin,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (2).rtf,52.3717655,4.88325
"Keizersgracht 647 G, 1017 DT Amsterdam",Keizersgracht,647 G,1017DT,Amsterdam,850000.0,850000.0,,2025-08-25,,,78.0,74.0,3.0,2.0,1.0,,1685.0,Appartement,,,Goed,Goed,149.16,False,Geen tuin,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (1).rtf,52.3637535,4.8950863
"Keizersgracht 699 B, 1017 DW Amsterdam",Keizersgracht,699 B,1017DW,Amsterdam,1400000.0,1400000.0,,2025-10-13,,,140.0,104.0,3.0,2.0,2.0,,1690.0,Appartement,,B,Uitstekend,Goed,,False,Geen tuin,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (1).rtf,52.3640615,4.8986215
"Herengracht 254 D, 1016 BV Amsterdam",Herengracht,254 D,1016BV,Amsterdam,1100000.0,1100000.0,,2025-08-28,,,75.0,144.0,6.0,4.0,2.0,2.0,1615.0,Appartement,Bovenwoning,,Redelijk,Goed,209.0,False,Geen tuin,,False,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (3).rtf,52.3716897,4.8865548
"Oude-IJselstraat 3 H, 1078 CL Amsterdam",Oude-IJselstraat,3 H,1078CL,Amsterdam,471551.0,445000.0,,2025-07-23,2025-09-16,2025-10-14,28.0,55.0,2.0,1.0,,,1926.0,Appartement,Benedenwoning,E,Goed,Goed,230.0,False,Geen tuin,,False,False,,,,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1510 (5).rtf,52.3478885,4.9014116
"Rozengracht 23 F, 1016 LR Amsterdam",Rozengracht,23 F,1016LR,Amsterdam,450000.0,450000.0,,2025-10-07,,,16.0,42.0,2.0,1.0,1.0,,2008.0,Appartement,Portiek,A,Goed,Goed,137.0,False,Geen tuin,,True,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Realworks bestanden\Selectie-22102025_1207.rtf,52.3735477,4.8819236
"Prinsengracht 545 3, 1016 HS Amsterdam",Prinsengracht,545 3,1016HS,Amsterdam,899000.0,899000.0,,2025-07-15,,,119.0,120.0,4.0,2.0,2.0,2.0,1761.0,Appartement,Bovenwoning,,Goed,Goed,82.82,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (2).rtf,52.3685916,4.8829488
"Lijnbaansgracht 294, 1017 RM Amsterdam",Lijnbaansgracht,294,1017RM,Amsterdam,1356294.0,1295000.0,,2025-05-15,2025-07-15,2025-07-18,28.0,151.0,7.0,3.0,1.0,,1725.0,Woonhuis,,,Goed,Goed,,True,Achtertuin,,False,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Realworks bestanden\Selectie-22102025_1221.rtf,52.3613328,4.8879636
"Prinsengracht 14 K, 1015 DV Amsterdam",Prinsengracht,14 K,1015DV,Amsterdam,825000.0,825000.0,,2025-09-23,,,49.0,65.0,3.0,2.0,1.0,,1990.0,Woonhuis,,C,Goed,Goed,,False,,,False,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (2).rtf,52.3800252,4.8878273
"Tuinstraat 244, 1015 PK Amsterdam",Tuinstraat,244,1015PK,Amsterdam,405000.0,380000.0,,2024-07-11,2024-10-17,2024-10-01,64.0,39.0,1.0,1.0,1.0,,1990.0,Appartement,,C,Goed,Goed,235.39,True,Achtertuin,38.0,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-18102025_1507.rtf,52.3764852,4.8793047
"Lijnbaansgracht 282 1, 1017 RM Amsterdam",Lijnbaansgracht,282 1,1017RM,Amsterdam,925000.0,950000.0,,2025-05-01,2025-08-19,2025-08-29,76.0,106.0,4.0,3.0,2.0,,1724.0,Appartement,Bovenwoning,,Goed,Goed,115.0,False,Geen tuin,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Realworks bestanden\Selectie-22102025_1221.rtf,52.3620818,4.8865604
"Victorieplein 38 3, 1078 PG Amsterdam",Victorieplein,38 3,1078PG,Amsterdam,935000.0,900000.0,,2024-11-15,2024-12-18,2024-12-23,19.0,134.0,6.0,5.0,1.0,,1924.0,Appartement,Bovenwoning,D,Redelijk,Goed,250.0,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_2050 (2).rtf,52.3468353,4.9029934
"Eerste Tuindwarsstraat 2 B, 1015 RV Amsterdam",Eerste Tuindwarsstraat,2 B,1015RV,Amsterdam,510000.0,495000.0,,2025-01-23,2025-03-17,2025-04-07,48.0,57.0,2.0,1.0,1.0,,1905.0,Appartement,Bovenwoning,,Goed,Redelijk,227.04,False,Geen tuin,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-18102025_1511 (1).rtf,52.3777525,4.8835489
