address_full,street,house_number,postal_code,city,sale_price,ask_price,sale_date,list_date,delist_date,transport_date,days_on_market,area_m2,rooms,bedrooms,bathrooms,toilets,year_built,type,subtype,energy_label,maintenance_inside,maintenance_outside,vve_monthly_fee,has_garden,garden_type,garden_area_m2,has_balcony,has_terrace,outdoor_text,heating,hot_water,has_lift,floor,has_storage,has_parking,has_garage,garage_type,notes,source_file,lat,lng
"Passeerdersstraat 20 B, 1016 XC Amsterdam",Passeerdersstraat,20 B,1016XC,Amsterdam,550000.0,550000.0,,2025-02-12,2025-03-08,2025-03-11,21.0,66.0,3.0,2.0,1.0,,1981.0,Appartement,Bovenwoning,B,Redelijk,Goed,233.0,False,Geen tuin,,True,True,,C.V.-Ketel,Elektrisch,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-09112025_1402 (3).rtf,,
"Elandsstraat 41, 1016 RX Amsterdam",Elandsstraat,41,1016RX,Amsterdam,650000.0,585000.0,,2024-02-28,2024-04-16,2024-04-16,27.0,61.0,3.0,2.0,1.0,,2000.0,Appartement,Bovenwoning,A,Goed,Goed,,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-09112025_1402 (2).rtf,,
"Lauriergracht 123 4, 1016 RK Amsterdam",Lauriergracht,123 4,1016RK,Amsterdam,1345000.0,1400000.0,,2025-05-26,2025-08-27,2025-08-27,73.0,188.0,5.0,4.0,3.0,2.0,1915.0,Appartement,Bovenwoning,,Goed,Goed,,False,Geen tuin,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Realworks bestanden\Selectie-22102025_1218.rtf,,
"Utrechtsedwarsstraat 10, 1017 WG Amsterdam",Utrechtsedwarsstraat,10,1017WG,Amsterdam,900000.0,950000.0,,2025-07-23,2025-10-10,2025-12-15,72.0,82.0,5.0,4.0,2.0,2.0,1906.0,Woonhuis,,,Goed,Goed,,False,Geen tuin,,False,True,,,,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1606 (2).rtf,,
"Deurloostraat 109 2, 1078 HW Amsterdam",Deurloostraat,109 2,1078HW,Amsterdam,775000.0,750000.0,,2025-02-05,2025-03-05,2025-03-04,28.0,82.0,5.0,2.0,1.0,,1929.0,Appartement,Bovenwoning,E,Goed,Goed,200.0,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_2049 (1).rtf,,
"Reggestraat 65, 1078 CX Amsterdam",Reggestraat,65,1078CX,Amsterdam,545000.0,500000.0,,2024-11-22,2025-01-24,2025-01-24,50.0,68.0,3.0,2.0,1.0,,1925.0,Appartement,Bovenwoning,C,Goed,Goed,112.95,False,Geen tuin,,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-09112025_0826 (1).rtf,,
"Rozengracht 23 F, 1016 LR Amsterdam",Rozengracht,23 F,1016LR,Amsterdam,450000.0,450000.0,,2025-10-07,,,16.0,42.0,2.0,1.0,1.0,,2008.0,Appartement,Portiek,A,Goed,Goed,137.0,False,Geen tuin,,True,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Realworks bestanden\Selectie-22102025_1207.rtf,,
"Keizersgracht 494 A, 1017 EH Amsterdam",Keizersgracht,494 A,1017EH,Amsterdam,2250000.0,2250000.0,,2025-09-22,,,50.0,160.0,4.0,2.0,3.0,3.0,1906.0,Appartement,Benedenwoning,,Goed,Goed,380.0,True,Achtertuin,100.0,False,False,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (1).rtf,,
"Jekerstraat 61 1, 1078 MA Amsterdam",Jekerstraat,61 1,1078MA,Amsterdam,845000.0,850000.0,,2024-11-14,2025-01-24,2025-02-26,72.0,100.0,3.0,2.0,1.0,,1930.0,Appartement,Bovenwoning,D,Goed,Goed,100.0,False,Geen tuin,,True,True,,C.V.-Ketel,C.V.-Ketel,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_2103 (1).rtf,,
"Prinsengracht 1033 C, 1017 KP Amsterdam",Prinsengracht,1033 C,1017KP,Amsterdam,1300000.0,1300000.0,,2025-06-27,,,137.0,119.0,5.0,2.0,1.0,,1680.0,Appartement,Benedenwoning,A,Goed,Goed,320.0,True,Achtertuin,,False,False,,,,False,,True,True,False,Geen garage,,C:\Users\meesv\Downloads\Selectie-10112025_1552 (2).rtf,,
